time_to_reversion,current_balance
-24,0.0
-23,0.24845007870706848
-22,0.07112554939365878
-21,0.048841683320223234
-20,0.13764831504978076
-19,0.1858302972561525
-18,0.12988059215050501
-17,0.4696471479473662
-16,0.7583961922688449
-15,0.32228153799618964
-14,0.20534740410664917
-13,0.35136603232843666
-12,0.17372493236612996
-11,0.28669544548563414
-10,0.09248308041856822
-9,0.36179943561936323
-8,0.21796356365506095
-7,0.2637785696808955
-6,0.30032937151884453
-5,0.3287846483750171
-4,0.3996002706384863
-3,0.15587873543747077
-2,0.925463558866023
-1,0.0
0,16.278020351559185
1,7.002907601086264
2,8.204338952249124
3,5.54176965218606
4,5.639706882529072
5,1.9343544275505271
6,2.6896765205651922
7,4.66467588116077
8,3.168218500804551
9,3.9527033492318204
10,3.249610722604892
11,4.580326026961082
12,2.47874549069007
13,0.0
14,1.8623598459570196
15,4.018209149735447
16,2.7493348001432065
17,2.709655320531849
18,2.9535349264596595
19,1.832891341121834
20,2.50520115134421
21,0.0
22,0.0
23,3.1113034241836273
24,2.361955919801492
25,1.3798326169096577
26,1.611192601500703
27,1.1441673297204462
28,3.8744193970861227
29,4.3693623117396845
30,0.0
31,4.226756563318778
32,3.9208685375079844
33,0.0
34,0.0
35,3.817338109366918
36,3.184681186466218
37,0.0
38,5.826000993891949
39,0.0
40,0.0
41,9.830092659201918
42,7.557648507232995
43,0.0
44,7.401861739766559
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
