time_to_reversion,current_balance
-24,0.0
-23,0.0
-22,0.0
-21,0.2742943488345905
-20,0.07445171324930495
-19,0.2244667596004079
-18,0.2667653814314443
-17,0.15218728981458857
-16,0.15961214934594678
-15,0.15012469717432927
-14,0.0
-13,0.0
-12,0.0
-11,0.0
-10,0.2538227586171932
-9,0.2658747650934827
-8,0.0
-7,0.0
-6,0.0
-5,0.0
-4,0.14835528783269744
-3,0.26245515376502476
-2,0.0
-1,0.0
0,0.0
1,1.2931301481045299
2,0.17661873063047118
3,0.0
4,0.886589415374329
5,0.0
6,1.146447825221875
7,0.19073168837944862
8,0.0
9,0.4922459109279281
10,0.7621967535140767
11,0.3873291378910901
12,1.4228651646907067
13,1.4414403219357788
14,1.350249669441547
15,1.1392352229699874
16,0.763511329893837
17,0.4165125249593552
18,0.0
19,0.0
20,0.0
21,1.0627868457338612
22,0.0
23,0.0
24,1.6831397340720096
25,0.0
26,4.917386812107251
27,2.0416152997967787
28,0.0
29,0.0
30,3.0633610911280873
31,2.41342223680757
32,0.0
33,0.0
34,0.0
35,0.0
36,4.979958967463749
37,0.0
38,2.953546828351921
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
