seasoning,current_balance
0.0,0.0
1.0,0.24845007870706848
2.0,0.07112554939365878
3.0,0.048841683320223234
4.0,0.13764831504978076
5.0,0.1858302972561525
6.0,0.12988059215050501
7.0,0.4696471479473662
8.0,0.7583961922688449
9.0,0.32228153799618964
10.0,0.20534740410664917
11.0,0.35136603232843666
12.0,0.17372493236612996
13.0,0.28669544548563414
14.0,0.09248308041856822
15.0,0.36179943561936323
16.0,0.21796356365506095
17.0,0.2637785696808955
18.0,0.30032937151884453
19.0,0.3287846483750171
20.0,0.3996002706384863
21.0,0.15587873543747077
22.0,0.925463558866023
23.0,0.0
24.0,16.278020351559185
25.0,7.002907601086264
26.0,8.204338952249124
27.0,5.54176965218606
28.0,5.639706882529072
29.0,1.9343544275505271
30.0,2.6896765205651922
31.0,4.66467588116077
32.0,3.168218500804551
33.0,3.9527033492318204
34.0,3.249610722604892
35.0,4.580326026961082
36.0,2.47874549069007
37.0,0.0
38.0,1.8623598459570196
39.0,4.018209149735447
40.0,2.7493348001432065
41.0,2.709655320531849
42.0,2.9535349264596595
43.0,1.832891341121834
44.0,2.50520115134421
45.0,0.0
46.0,0.0
47.0,3.1113034241836273
48.0,2.361955919801492
49.0,1.3798326169096577
50.0,1.611192601500703
51.0,1.1441673297204462
52.0,3.8744193970861227
53.0,4.3693623117396845
54.0,0.0
55.0,4.226756563318778
56.0,3.9208685375079844
57.0,0.0
58.0,0.0
59.0,3.817338109366918
60.0,3.184681186466218
61.0,0.0
62.0,5.826000993891949
63.0,0.0
64.0,0.0
65.0,9.830092659201918
66.0,7.557648507232995
67.0,0.0
68.0,7.401861739766559
69.0,0.0
70.0,0.0
71.0,0.0
72.0,0.0
73.0,0.0
74.0,0.0
75.0,0.0
76.0,0.0
77.0,0.0
78.0,0.0
79.0,0.0
80.0,0.0
81.0,0.0
82.0,0.0
83.0,0.0
