months_since_default,payment_made
0.0,0.0
1.0,0.0
2.0,0.0
3.0,31.512645488284218
4.0,58.210557770618145
5.0,62.32926401666601
6.0,64.13943622124461
7.0,72.51830601332843
8.0,73.81220077770051
9.0,78.27681925716973
10.0,78.27681925716973
11.0,78.27681925716973
12.0,78.27681925716973
13.0,78.27681925716973
14.0,78.27681925716973
15.0,78.27681925716973
16.0,78.27681925716973
17.0,78.27681925716973
18.0,78.27681925716973
19.0,78.27681925716973
20.0,78.27681925716973
21.0,78.27681925716973
22.0,78.27681925716973
23.0,78.27681925716973
